"","X","Case.No.","Claimant.s.","Respondent.s.","Status","claimants","outcome","registered","bit","instrument","claim_id","reg_year","out_year","bit_claim","nafta_claim","other_claim","claimants_nat","resp_state_comp","respondents_nat","host","source"
"133",156,"ARB/12/9","Dan Cake (Portugal) S.A.","Hungary","Pending","Dan Cake (Portugal) S.A. (Portuguese)","","April 19, 2012","BIT Hungary - Portugal 1992","",383,2012,NA,1,0,0,"Portugal",0,"Hungary","HUN","PRT"
"134",156,"ARB/12/9","Dan Cake (Portugal) S.A.","Hungary","Pending","Dan Cake (Portugal) S.A. (Portuguese)","","April 19, 2012","BIT Hungary - Portugal 1992","",383,2012,NA,1,0,0,"Portuguese",0,"Hungary","HUN","PRT"
"135",157,"ARB/12/7","Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH","Slovak Republic","Concluded","E.ON Ruhrgas International GmbH (German), GDF International SAS (French), Slovak Gas Holding BV (Dutch)","Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on March 19, 2013, pursuant to ICSID Arbitration Rule 43(2)).","April 5, 2012","","ECT (Energy Charter Treaty)",382,2012,2013,0,0,1,"German",0,"Slovak Republic","SVK","DEU"
"136",157,"ARB/12/7","Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH","Slovak Republic","Concluded","E.ON Ruhrgas International GmbH (German), GDF International SAS (French), Slovak Gas Holding BV (Dutch)","Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on March 19, 2013, pursuant to ICSID Arbitration Rule 43(2)).","April 5, 2012","","ECT (Energy Charter Treaty)",382,2012,2013,0,0,1,"French",0,"Slovak Republic","SVK","FRA"
"137",157,"ARB/12/7","Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH","Slovak Republic","Concluded","E.ON Ruhrgas International GmbH (German), GDF International SAS (French), Slovak Gas Holding BV (Dutch)","Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on March 19, 2013, pursuant to ICSID Arbitration Rule 43(2)).","April 5, 2012","","ECT (Energy Charter Treaty)",382,2012,2013,0,0,1,"Dutch",0,"Slovak Republic","SVK","NLD"
"138",159,"ARB/12/6","Muhammet Çap & Sehil Insaat Endustri ve Ticaret Ltd. Sti.","Turkmenistan","Pending","Muhammet Çap (Turkish), Sehil Insaat Endustri ve Ticaret Ltd. Sti. (Turkish)","","March 26, 2012","BIT Turkmenistan - Turkey 1992","",380,2012,NA,1,0,0,"Turkish",0,"Turkmenistan","TKM","TUR"
"139",160,"ARB(AF)/12/2","Grupo Francisco Hernando Contreras","Republic of Equatorial Guinea","Pending","Grupo Francisco Hernando Contreras (Spanish)","","March 23, 2012","BIT Equatorial Guinea - Spain 2003","",379,2012,NA,1,0,0,"Spanish",0,"Republic of Equatorial Guinea","GNQ","ESP"
"140",161,"ARB(AF)/12/1","Apotex Holdings Inc. and Apotex Inc.","United States of America","Concluded","Apotex Holdings Inc. (Canadian), Apotex Inc.  (Canadian)","Award rendered on August 25, 2014. ","March 16, 2012","","Contract",378,2012,2014,0,0,1,"Canadian",0,"United States of America","USA","CAN"
"141",162,"ARB/12/5","Isolux Corsán Concesiones S.A.","Republic of Peru","Concluded","Elecnor S.A. (Spanish), Isolux Corsán Concesiones S.A. (Spanish)","Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on March 25, 2014, pursuant to ICSID Arbitration Rule 43(2)).","February 15, 2012","BIT Spain - Peru 1994","",377,2012,2014,1,0,0,"Spanish",0,"Republic of Peru","PER","ESP"
"142",163,"ARB/12/4","Supervision y Control S.A.","Republic of Costa Rica","Pending","Supervision y Control S.A. (Spanish)","","February 9, 2012","BIT Costa Rica - Spain 1997","",376,2012,NA,1,0,0,"Spanish",0,"Republic of Costa Rica","CRI","ESP"
"143",164,"ARB/12/3","Accession Mezzanine Capital L.P. and Danubius Kereskedöház Vagyonkezelö Zrt.","Hungary","Concluded","Accession Mezzanine Capital L.P. (British), Danubius Kereskedöház Vagyonkezelö Zrt. (Hungarian)","Award rendered by the Tribunal on April 17, 2015.","January 18, 2012","BIT United Kingdom of Great Britain and Northern Ireland - Hungary 1987","",375,2012,2015,1,0,0,"British",0,"Hungary","HUN","GBR"
"144",165,"ARB/12/2","Emmis International Holding, B.V., Emmis Radio Operating, B.V., and MEM Magyar Electronic Media Kereskedelmi és Szolgáltató Kft.","Hungary","Concluded","Emmis International Holding,  B.V. (Dutch), Emmis Radio Operating,  B.V. (Dutch), MEM Magyar Electronic Media Kereskedelmi és Szolgáltató Kft. (Hungarian)","Award rendered on April 16, 2014.","January 18, 2012","BIT Hungary - Switzerland 1988, BIT Netherlands - Hungary 1987","",374,2012,2014,1,0,0,"Dutch",0,"Hungary","HUN","NLD"
"145",166,"ARB/12/1","Tethyan Copper Company Pty Limited","Islamic Republic of Pakistan","Pending","Tethyan Copper Company Pty Limited (Australian)","","January 12, 2012","BIT Pakistan - Australia 1998","",373,2012,NA,1,0,0,"Australian",0,"Islamic Republic of Pakistan","PAK","AUS"
"146",167,"ARB/11/33","Adel A Hamadi Al Tamimi","Sultanate of Oman","Pending","Adel A Hamadi Al Tamimi (U.S.)","","December 23, 2011","","FTA Oman – United States of America 2006",372,2011,NA,0,0,1,"U.S.",0,"Sultanate of Oman","OMN","USA"
"147",169,"ARB/11/32","Indorama International Finance Limited","Arab Republic of Egypt","Concluded","Indorama International Finance Limited (British)","The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) on July 2, 2015)","December 2, 2011","BIT Egypt,  Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975","",370,2011,2015,1,0,0,"British",0,"Arab Republic of Egypt","EGY","GBR"
"148",170,"ARB/11/30","Hortensia Margarita Shortt","Bolivarian Republic of Venezuela","Concluded","Hortensia Margarita Shortt (British)","Order taking note of the discontinuance of the proceeding issued by the Secretary-General pursuant to ICSID Arbitration Rule 45 on May 11, 2015.","November 21, 2011","BIT Venezuela,  Republica Bolivariana de - United Kingdom of Great Britain and Northern Ireland 1995","",369,2011,2015,1,0,0,"British",0,"Bolivarian Republic of Venezuela","VEN","GBR"
"149",171,"ARB/11/29","Getma International and others","Republic of Guinea","Pending","Getma International (French), Getma International Investissements (French), NCT Infrastructure & Logistique (French), NCT Necotrans (French)","","November 3, 2011","","Investment Law - Guinea (1987)",368,2011,NA,0,0,1,"French",0,"Republic of Guinea","GIN","FRA"
"150",172,"ARB/11/28","Tulip Real Estate and Development Netherlands B.V.","Republic of Turkey","Pending","Tulip Real Estate and Development Netherlands B.V.  (Dutch)","Award rendered on March 10, 2014; attached to the award is a separate opinion by arbitrator Michael Evan Jaffe.","October 28, 2011","BIT Netherlands - Turkey 1986","",367,2011,2014,1,0,0,"Dutch",0,"Republic of Turkey","TUR","NLD"
"151",173,"ARB/11/27","Baggerwerken Decloedt En Zoon NV","Republic of the Philippines","Pending","Baggerwerken Decloedt En Zoon NV (Belgian)","","October 11, 2011","BIT Philippines - Belgium-Luxembourg 1998","",366,2011,NA,1,0,0,"Belgian",0,"Republic of the Philippines","PHL","BEL"
"152",174,"ARB(AF)/11/4","Mobile TeleSystems OJSC","Turkmenistan","Concluded","Mobile TeleSystems OJSC (Russian)","The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration (Additional Facility) Rule 49(1) on September 21, 2012.","October 5, 2011","BIT Russian Federation - Turkmenistan 2009","",365,2011,2012,1,0,0,"Russian",0,"Turkmenistan","TKM","RUS"
"153",175,"ARB/11/26","Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda.","Bolivarian Republic of Venezuela","Pending","Talta - Trading e Marketing Sociedade Unipessoal Lda. (Portuguese), Tenaris S.A.  (Luxembourg)","","September 30, 2011","BIT Venezuela,  Republica Bolivariana de - Belgium-Luxembourg 1998, BIT Venezuela,  Republica Bolivariana de - Portugal 1994","",364,2011,NA,1,0,0,"Portuguese",0,"Bolivarian Republic of Venezuela","VEN","PRT"
"154",175,"ARB/11/26","Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda.","Bolivarian Republic of Venezuela","Pending","Talta - Trading e Marketing Sociedade Unipessoal Lda. (Portuguese), Tenaris S.A.  (Luxembourg)","","September 30, 2011","BIT Venezuela,  Republica Bolivariana de - Belgium-Luxembourg 1998, BIT Venezuela,  Republica Bolivariana de - Portugal 1994","",364,2011,NA,1,0,0,"Luxembourg",0,"Bolivarian Republic of Venezuela","VEN","LUX"
"155",176,"ARB/11/25","OI European Group B.V.","Bolivarian Republic of Venezuela","Pending","OI European Group B.V. (Dutch)","Award rendered by the Tribunal on March 10, 2015.","September 26, 2011","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991","",363,2011,2015,1,0,0,"Dutch",0,"Bolivarian Republic of Venezuela","VEN","NLD"
"156",178,"ARB/11/24","Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A.","Republic of Albania","Pending","Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A.  (Greek)","Award rendered on March 30, 2015; attached to the award is a dissenting opinion by arbitrator Steven A. Hammond.","September 12, 2011","BIT Greece - Albania 1991","",361,2011,2015,1,0,0,"Greek",0,"Republic of Albania","ALB","GRC"
"157",179,"ARB/11/23","Franck Charles Arif","Republic of Moldova","Concluded","Mr. Franck Charles Arif (French)","Award rendered on April 8, 2013.","August 23, 2011","BIT France - Moldova 1997","",360,2011,2013,1,0,0,"French",0,"Republic of Moldova","MDA","FRA"
"158",181,"ARB/11/21","DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company","Republic of Peru","Pending","DP World Callao S.R.L. (Peruvian), P&O Dover (Holding) Limited (British), The Peninsular and Oriental Steam Navigation Company (British)","","July 22, 2011","BIT Peru - United Kingdom of Great Britain and Northern Ireland 1993, ","Contract",358,2011,NA,1,0,0,"British",0,"Republic of Peru","PER","GBR"
"159",182,"ARB/11/20","Garanti Koza LLP","Turkmenistan","Pending","Garanti Koza LLP (British)","","July 20, 2011","BIT Turkmenistan - Turkey 1992, BIT United Kingdom of Great Britain and Northern Ireland - Turkmenistan 1995","",357,2011,NA,1,0,0,"British",0,"Turkmenistan","TKM","GBR"
"160",183,"ARB/11/19","Koch Minerals Sàrl and Koch Nitrogen International Sàrl","Bolivarian Republic of Venezuela","Pending","Koch Minerals Sàrl (Swiss), Koch Nitrogen International Sàrl (Swiss)","","July 19, 2011","BIT Venezuela,  Republica Bolivariana de - Switzerland 1993","",356,2011,NA,1,0,0,"Switzerland",0,"Bolivarian Republic of Venezuela","VEN","CHE"
"161",184,"ARB/11/18","Burimi SRL and Eagle Games SH.A","Republic of Albania","Concluded","Burimi S.R.L. (Italian), Eagle Games SH.A (Albanian)","Award rendered on May 29, 2013.","July 12, 2011","BIT Albania - Italy 1991, ","Investment Law - Albania (1993)",355,2011,2013,1,0,0,"Italian",0,"Republic of Albania","ALB","ITA"
"162",185,"ARB/11/17","Renée Rose Levy and Gremcitel S.A.","Republic of Peru","Concluded","Gremcitel S.A. (Peruvian), Renée Rose Levy (French)","Award rendered on January 9, 2015.","June 24, 2011","BIT France - Peru 1993","",354,2011,2015,1,0,0,"French",0,"Republic of Peru","PER","FRA"
"163",186,"ARB/11/16","Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E.","Arab Republic of Egypt","Concluded","Damac Gamsha Bay for Development S.A.E. (Egyptian), Damac Park Avenue for Real Estate Development S.A.E. (Egyptian), Hussain Sajwani (United Arab Emirates)","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44 issued on September 10, 2014.","June 20, 2011","BIT Egypt,  Arab Republic of - United Arab Emirates 1997","",353,2011,2014,1,0,0,"United Arab Emirates",0,"Arab Republic of Egypt","EGY","ARE"
"164",187,"ARB/11/15","Ekran Berhad","People's Republic of China","Concluded","Ekran Berhad (Malaysian)","The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) on May 16, 2013.","May 24, 2011","BIT Malaysia - China 1988, BIT China - Israel 1995","",352,2011,2013,1,0,0,"Malaysian",0,"People's Republic of China","CHN","MYS"
"165",189,"ARB/11/13","Rafat Ali Rizvi","Republic of Indonesia","Concluded","Rafat Ali Rizvi (British)","Award rendered on July 16, 2013; attached to the award is a separate opinion by arbitrator Muthucumaraswamy Sornarajah.","May 19, 2011","BIT Indonesia - United Kingdom of Great Britain and Northern Ireland 1976","",350,2011,2013,1,0,0,"British",0,"Republic of Indonesia","IDN","GBR"
"166",190,"ARB/11/12","Fraport AG Frankfurt Airport Services Worldwide","Republic of the Philippines","Concluded","Fraport AG Frankfurt Airport Services Worldwide (German)","Award rendered on December 10, 2014.","April 27, 2011","BIT Germany - Philippines 1997","",349,2011,2014,1,0,0,"German",0,"Republic of the Philippines","PHL","DEU"
"167",191,"ARB/11/11","AHS Niger and Menzies Middle East and Africa S.A.","Republic of Niger","Concluded","AHS Niger  (Nigerien), Menzies Middle East and Africa S.A. (Luxembourg)","Award rendered on July 15, 2013.","April 26, 2011","","Contract, Investment Law - Niger (1989)",348,2011,2013,0,0,1,"Luxembourg",0,"Republic of Niger","NER","LUX"
"168",192,"ARB(AF)/11/3","Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC","Republic of Poland","Pending","Vincent J. Ryan (U.S.), Schooner Capital LLC (U.S.), Atlantic Investment Partners LLC (U.S.)","","April 26, 2011","BIT United States of America - Poland 1990","",347,2011,NA,1,0,0,"U.S.",0,"Republic of Poland","POL","USA"
"169",193,"ARB/11/10","The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited","Bolivarian Republic of Venezuela","Pending","The Williams Companies,  International Holdings B.V. (Dutch), WilPro Energy Services (El Furrial) Limited (British), WilPro Energy Services (Pigap II) Limited (British)","","April 20, 2011","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991","",346,2011,NA,1,0,0,"Dutch",0,"Bolivarian Republic of Venezuela","VEN","NLD"
"170",193,"ARB/11/10","The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited","Bolivarian Republic of Venezuela","Pending","The Williams Companies,  International Holdings B.V. (Dutch), WilPro Energy Services (El Furrial) Limited (British), WilPro Energy Services (Pigap II) Limited (British)","","April 20, 2011","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991","",346,2011,NA,1,0,0,"British",0,"Bolivarian Republic of Venezuela","VEN","GBR"
"171",195,"UNCT/13/1","The Renco Group, Inc.","Republic of Peru","Pending","The Renco Group,  Inc. (U.S.)","","April 4, 2011","","FTA Peru – United States of America 2006",344,2011,NA,0,0,1,"U.S.",0,"Republic of Peru","PER","USA"
"172",199,"ARB(AF)/11/2","Crystallex International Corporation","Bolivarian Republic of Venezuela","Pending","Crystallex International Corporation (Canadian)","","March 9, 2011","BIT Canada - Venezuela,  Republica Bolivariana de 1996","",340,2011,NA,1,0,0,"Canadian",0,"Bolivarian Republic of Venezuela","VEN","CAN"
"173",200,"ARB/11/5","Longreef Investments A.V.V.","Bolivarian Republic of Venezuela","Pending","Longreef Investments A.V.V. (Dutch)","","February 23, 2011","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991","",339,2011,NA,1,0,0,"Dutch",0,"Bolivarian Republic of Venezuela","VEN","NLD"
"174",201,"ARB(AF)/11/1","Nova Scotia Power Incorporated","Bolivarian Republic of Venezuela","Concluded","Nova Scotia Power Incorporated (Canadian)","Award rendered on April 30, 2014.","January 26, 2011","BIT Canada - Venezuela,  Republica Bolivariana de 1996","",338,2011,2014,1,0,0,"Canadian",0,"Bolivarian Republic of Venezuela","VEN","CAN"
"175",203,"ARB/11/3","Accession Eastern Europe Capital AB and Mezzanine Management Sweden AB","Republic of Bulgaria","Concluded","Accession Eastern Europe Capital AB (Swedish), Mezzanine Management Sweden AB (Swedish)","The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 45 on July 23, 2012. ","January 20, 2011","BIT Sweden - Bulgaria 1994","",336,2011,2012,1,0,0,"Swedish",0,"Republic of Bulgaria","BGR","SWE"
"176",204,"ARB/11/2","Türkiye Petrolleri Anonim Ortakligi","Republic of Kazakhstan","Concluded","
Türkiye Petrolleri Anonim Ortakligi (Turkish)","Award is rendered on August 18, 2014.","January 14, 2011","BIT Turkey - Kazakhstan 1992, ","ECT (Energy Charter Treaty)",335,2011,2014,1,0,0,"Turkish",0,"Republic of Kazakhstan","KAZ","TUR"
"177",205,"ARB/11/1","Highbury International AVV and Ramstein Trading Inc.","Bolivarian Republic of Venezuela","Pending","Highbury International AVV (Dutch), Ramstein Trading Inc. (Panamanian)","Award rendered on September 26, 2013","January 5, 2011","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991, ","Investment Law - Venezuela (1999)",334,2011,2013,1,0,0,"Dutch",0,"Bolivarian Republic of Venezuela","VEN","NLD"
"178",207,"ARB/10/24","Içkale Insaat Limited Sirketi","Turkmenistan","Pending","Içkale Insaat Limited Sirketi  (Turkish)","","December 20, 2010","BIT Turkmenistan - Turkey 1992","",332,2010,NA,1,0,0,"Turkish",0,"Turkmenistan","TKM","TUR"
"179",208,"ARB/10/23","TECO Guatemala Holdings, LLC","Republic of Guatemala","Pending","TECO Guatemala Holdings,  LLC (U.S.)","Award rendered on December 19, 2013.","November 23, 2010","","CAFTA-DR (Dominican Republic-Central America Free Trade Agreement)",331,2010,2013,0,0,1,"U.S.",0,"Republic of Guatemala","GTM","USA"
"180",209,"ARB/10/22","Ömer Dede and Serdar Elhüseyni","Romania","Concluded","Ömer Dede (Turkish), Serdar Elhüseyni (Turkish)","Award rendered on September 5, 2013.","November 19, 2010","BIT Turkey - Romania 1991","",330,2010,2013,1,0,0,"Turkish",0,"Romania","ROM","TUR"
"181",210,"ARB/10/21","International Quantum Resources Limited, Frontier SPRL and Compagnie Minière de Sakania SPRL","Democratic Republic of the Congo","Concluded","Compagnie Minière de Sakania SPRL (Congolese (D.R.)), Frontier SPRL (Congolese (D.R.)), International Quantum Resources Limited (British)","The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) on April 12, 2012.","October 22, 2010","","Other",329,2010,2012,0,0,1,"British",0,"Democratic Republic of the Congo","ZAR","GBR"
"182",211,"ARB/10/20","Standard Chartered Bank (Hong Kong) Limited","Tanzania Electric Supply Company Limited","Pending","Standard Chartered Bank (Hong Kong) Limited (Chinese)","","October 1, 2010","","Contract",328,2010,NA,0,0,1,"Chinese",1,"Tanzania","TZA","CHN"
"183",212,"ARB(AF)/10/1","David Minnotte and Robert Lewis","Republic of Poland","Concluded","David Minnotte (U.S.), Robert Lewis (U.S.)","Award rendered on May 16, 2014.","September 14, 2010","BIT United States of America - Poland 1990","",327,2010,2014,1,0,0,"U.S.",0,"Republic of Poland","POL","USA"
"184",213,"ARB/10/19","Flughafen Zürich A.G. and Gestión e Ingenería IDC S.A.","Bolivarian Republic of Venezuela","Pending","Flughafen Zürich A.G. (Swiss), Gestión e Ingenería IDC S.A. (Chilean)","Award rendered on November 18, 2014; attached to the award is a partial dissenting opinion by arbitrator Raúl Emilio Vinuesa.","August 9, 2010","BIT Venezuela,  Republica Bolivariana de - Switzerland 1993, BIT Venezuela,  Republica Bolivariana de - Chile 1993","",326,2010,2014,1,0,0,"Switzerland",0,"Bolivarian Republic of Venezuela","VEN","CHE"
"185",213,"ARB/10/19","Flughafen Zürich A.G. and Gestión e Ingenería IDC S.A.","Bolivarian Republic of Venezuela","Pending","Flughafen Zürich A.G. (Swiss), Gestión e Ingenería IDC S.A. (Chilean)","Award rendered on November 18, 2014; attached to the award is a partial dissenting opinion by arbitrator Raúl Emilio Vinuesa.","August 9, 2010","BIT Venezuela,  Republica Bolivariana de - Switzerland 1993, BIT Venezuela,  Republica Bolivariana de - Chile 1993","",326,2010,2014,1,0,0,"Chilean",0,"Bolivarian Republic of Venezuela","VEN","CHL"
"186",215,"ARB/10/16","AES Corporation and Tau Power B.V.","Republic of Kazakhstan","Concluded","AES Corporation (U.S.), Tau Power B.V. (Dutch)","Award rendered on November 1, 2013.","July 20, 2010","BIT United States of America - Kazakhstan 1992, ","ECT (Energy Charter Treaty), Investment Law - Kazakhstan (1994)",324,2010,2013,1,0,0,"U.S.",0,"Republic of Kazakhstan","KAZ","USA"
"187",215,"ARB/10/16","AES Corporation and Tau Power B.V.","Republic of Kazakhstan","Concluded","AES Corporation (U.S.), Tau Power B.V. (Dutch)","Award rendered on November 1, 2013.","July 20, 2010","BIT United States of America - Kazakhstan 1992, ","ECT (Energy Charter Treaty), Investment Law - Kazakhstan (1994)",324,2010,2013,1,0,0,"Dutch",0,"Republic of Kazakhstan","KAZ","NLD"
"188",216,"ARB/10/17","Renée Rose Levy de Levi","Republic of Peru","Concluded","Renée Rose Levy de Levi (French)","Award rendered on February 26, 2014; attached to the award is a dissenting opinion by arbitrator Joaquín Morales Godoy.","July 20, 2010","BIT France - Peru 1993","",323,2010,2014,1,0,0,"French",0,"Republic of Peru","PER","FRA"
"189",217,"ARB/10/15","Bernhard von Pezold and others","Republic of Zimbabwe","Concluded","Maria Juliane Andrea Christiane Katharina Batthyàny (Swiss, German), Felix Alard Moritz Hermannn Kilian von Pezold (Swiss, German), Heinrich Bernd Alexander Josef von Pezold (Swiss, German), Johann Friedrich Georg Ludwig von Pezold (Swiss, German), Bernhard Friedrich Arnd Rüdiger von Pezold (German), Elisabeth Regina Maria Gabriele von Pezold (Swiss, German), Anna Eleonore Elisabeth Webber (Swiss, German), Adam Friedrich Carl Leopold Franz Severin von Pezold (Swiss, German)","Award rendered by the Tribunal on July 28, 2015.","July 8, 2010","BIT Zimbabwe - Switzerland 1996, BIT Zimbabwe - Germany 1995","",322,2010,2015,1,0,0,"Switzerland",0,"Republic of Zimbabwe","ZWE","CHE"
"190",217,"ARB/10/15","Bernhard von Pezold and others","Republic of Zimbabwe","Concluded","Maria Juliane Andrea Christiane Katharina Batthyàny (Swiss, German), Felix Alard Moritz Hermannn Kilian von Pezold (Swiss, German), Heinrich Bernd Alexander Josef von Pezold (Swiss, German), Johann Friedrich Georg Ludwig von Pezold (Swiss, German), Bernhard Friedrich Arnd Rüdiger von Pezold (German), Elisabeth Regina Maria Gabriele von Pezold (Swiss, German), Anna Eleonore Elisabeth Webber (Swiss, German), Adam Friedrich Carl Leopold Franz Severin von Pezold (Swiss, German)","Award rendered by the Tribunal on July 28, 2015.","July 8, 2010","BIT Zimbabwe - Switzerland 1996, BIT Zimbabwe - Germany 1995","",322,2010,2015,1,0,0,"German",0,"Republic of Zimbabwe","ZWE","DEU"
"191",218,"ARB/10/13","Hassan Awdi, Enterprise Business Consultants, Inc. and Alfa El Corporation","Romania","Concluded","Alfa El Corporation (U.S.), Hassan Awdi (U.S.), Enterprise Business Consultants,  Inc. (U.S.)","Award rendered by the Tribunal on March 2, 2015.","June 16, 2010","BIT Romania - United States of America 1992","",321,2010,2015,1,0,0,"U.S.",0,"Romania","ROM","USA"
"192",220,"ARB/10/12","Standard Chartered Bank","United Republic of Tanzania","Pending","Standard Chartered Bank (British)","Award rendered on November 2, 2012.","June 11, 2010","BIT United Kingdom of Great Britain and Northern Ireland - Tanzania 1994","",319,2010,2012,1,0,0,"British",0,"United Republic of Tanzania","TZA","GBR"
"193",222,"ARB/10/10","Olyana Holdings LLC","Republic of Rwanda","Concluded","Olyana Holdings LLC  (U.S.)","The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) on January 7, 2011.","April 16, 2010","","Contract",317,2010,2011,0,0,1,"U.S.",0,"Republic of Rwanda","RWA","USA"
"194",223,"ARB/10/8","Pan American Energy LLC","Plurinational State of Bolivia","Concluded","Pan American Energy LLC (U.S.)","Order taking note of the discontinuance of the proceeding issued by the Tribunal pursuant to ICSID Arbitration Rule 43(1) on February 24, 2015.","April 12, 2010","BIT Bolivia - United States of America 1998","",316,2010,2015,1,0,0,"U.S.",0,"Plurinational State of Bolivia","BOL","USA"
"195",224,"ARB/10/9","Universal Compression International Holdings, S.L.U.","Bolivarian Republic of Venezuela","Pending","Universal Compression International Holdings,  S.L.U. (Spanish)","","April 12, 2010","BIT Spain - Venezuela,  Republica Bolivariana de 1995","",315,2010,NA,1,0,0,"Spanish",0,"Bolivarian Republic of Venezuela","VEN","ESP"
"196",225,"ARB/10/7","Philip Morris Brand Sàrl (Switzerland), Philip Morris Products S.A. (Switzerland) and Abal Hermanos S.A. (Uruguay)","Oriental Republic of Uruguay","Pending","Abal Hermanos S.A. (Uruguay) (Uruguayan), FTR Holding S.A. (Swiss), Philip Morris Brand Sàrl (Switzerland) (Swiss), Philip Morris Products S.A. (Switzerland) (Swiss)","","March 26, 2010","BIT Uruguay - Switzerland 1988","",314,2010,NA,1,0,0,"Switzerland",0,"Oriental Republic of Uruguay","URY","CHE"
"197",227,"ARB/10/5","Tidewater Investment SRL and Tidewater Caribe, C.A.","Bolivarian Republic of Venezuela","Pending","Jackson Marine,  L.L.C. (U.S.), Point Marine,  L.L.C. (U.S.), Tidewater Caribe,  C.A. (Venezuelan), Tidewater Inc. (U.S.), Tidewater Investment SRL (Barbadian), Twenty Grand Marine Service,  L.L.C. (U.S.), Twenty Grand Offshore,  L.L.C. (U.S.), Zapata Gulf Marine Operations,  L.L.C. (U.S.)","Award rendered on March 13, 2015.","March 5, 2010","BIT Venezuela,  Republica Bolivariana de - Barbados 1994, ","Investment Law - Venezuela (1999)",312,2010,2015,1,0,0,"U.S.",0,"Bolivarian Republic of Venezuela","VEN","USA"
"198",229,"UNCT/10/1","AbitibiBowater Inc.","Canada","Concluded","AbitibiBowater Inc. (U.S.)","Award rendered on December 15, 2010.","February 25, 2010","","NAFTA (North American Free Trade Agreement)",310,2010,2010,0,1,0,"U.S.",0,"Canada","CAN","USA"
"199",230,"ARB/10/3","Metal-Tech Ltd.","Republic of Uzbekistan","Concluded","Metal-Tech Ltd. (Israeli)","Award rendered on October 4, 2013.","February 4, 2010","BIT Israel - Uzbekistan 1994","",309,2010,2013,1,0,0,"Israeli",0,"Republic of Uzbekistan","UZB","ISR"
"200",231,"ARB/10/2","Convial Callao S.A. and CCI - Compañía de Concesiones de Infraestructura S.A.","Republic of Peru","Concluded","CCI - Compañía de Concesiones de Infraestructura S.A. (Argentine), Convial Callao S.A.  (Peruvian)","Award rendered on May 21, 2013.","February 2, 2010","BIT Peru - Argentina 1994","",308,2010,2013,1,0,0,"Argentina",0,"Republic of Peru","PER","ARG"
"201",232,"ARB/10/1","Kiliç Insaat Ithalat Ihracat Sanayi ve Ticaret Anonim Sirketi","Turkmenistan","Concluded","Kiliç Insaat Ithalat Ihracat Sanayi ve Ticaret Anonim Sirketi  (Turkish)","Award rendered on July 2, 2013.","January 19, 2010","BIT Turkmenistan - Turkey 1992","",307,2010,2013,1,0,0,"Turkish",0,"Turkmenistan","TKM","TUR"
"202",233,"ARB/09/23","Corporación Quiport S.A. and others","Republic of Ecuador","Concluded","ADC Management Ltd. (British), Aecon Investment Corp. (Barbadian), AG Concessions Inc. (British), Black Coral Investments Inc. (British), Corporación Quiport S.A. (Ecuadoran), Icaros Development Corporation S.A. (Uruguayan), Quiport Holdings S.A. (Uruguayan)","The Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 43(1) on November 11, 2011.","December 30, 2009","","Contract",306,2009,2011,0,0,1,"British",0,"Republic of Ecuador","ECU","GBR"
